TF,W,R
ZNF214,-897.226724090095,350
POU3F3,-897.581427044857,351
CEBPG,-916.681840672933,352
CREM,-928.155543391542,353
CEBPD,-934.426510015169,354
FOXA1,-936.527691528922,355
SRF,-939.6681925103,356
SOX6,-942.678653636397,357
FOXM1,-950.304785160832,358
OTX2,-956.265376216098,359
MLXIP,-962.882722121037,360
NFE2L2,-963.963979913711,361
FOXD2,-976.236052798567,362
NR6A1,-994.438799588404,363
PAX2,-999.94399946723,364
MNT,-1013.67538849904,365
NPAS2,-1041.40043456251,366
ZNF264,-1042.37576729707,367
FOSB,-1048.73179631849,368
XBP1,-1051.99596966718,369
KLF13,-1057.47844861992,370
NFATC2,-1091.8594190498,371
HIF1A,-1100.75433611965,372
ERF,-1103.5492398152,373
HOXA13,-1112.72444011895,374
MEIS1,-1117.07232991996,375
POU3F1,-1124.42225960104,376
NKX2-3,-1134.66556267503,377
SOX21,-1141.14759534695,378
ZNF384,-1142.50143002225,379
CRX,-1144.4215169185,380
ID2,-1163.28265687449,381
ETV3,-1169.0463909749,382
FOXA2,-1172.928374277,383
TFEC,-1175.26454589398,384
NFYC,-1184.61008465806,385
PDX1,-1186.98383085821,386
TCF7L2,-1197.39241537531,387
TAL1,-1199.37307145645,388
POU2F3,-1202.78953130458,389
NFIB,-1218.55423153581,390
POU2F1,-1222.78353363209,391
CEBPB,-1223.32972989876,392
HOXD8,-1227.8546567006,393
GCM2,-1229.09772103366,394
TFCP2,-1239.06459245589,395
GATA3,-1243.30966420644,396
HES2,-1246.311679623,397
TGIF2,-1257.8023030764,398
IRF5,-1283.55330026151,399
SOX14,-1283.94100306377,400
LHX2,-1296.11612111923,401
TCF21,-1302.68545717169,402
POU3F2,-1309.57974124629,403
CPEB1,-1310.14634298936,404
POU3F4,-1326.79557473932,405
AHR,-1328.23123479409,406
ZNF382,-1331.64908810285,407
POU5F1B,-1332.0424982949,408
HOXC10,-1341.74602225529,409
HOXB13,-1343.304452027,410
NKX3-1,-1345.82420871042,411
MEOX2,-1350.12221698267,412
