,stat,pvalue,dof,FDR
ZIC1,-2.38025007778034,0.023824247413576,30.1343012297883,0.0423390911178408
VDR,-2.37206008695321,0.0244265142927849,29.4723069039382,0.0431222143195225
TFAP2C,-2.36952927695727,0.0247464431815236,28.7431086548977,0.0431879713832584
HGNC:9982,-2.36942053673811,0.0244728965511116,29.8938373852409,0.0431222143195225
ESR2,-2.36452220793496,0.0247060020658081,30.0645928260717,0.0431879713832584
FOXO1,-2.36390548061183,0.0247879514209377,29.8613900046625,0.0431879713832584
CTCF,-2.35493982047627,0.0252920980588492,29.8749692050332,0.0439432541692855
ZNF335,-2.35445160169831,0.025384887805686,29.6036586461033,0.0439816161981523
RARG,-2.34933908219287,0.0255975313376387,29.9434536237259,0.0442268458111425
TCF3,-2.34794731268647,0.0266790493550233,26.2629758941252,0.0448466792484082
ZNF667,-2.34518835259677,0.0258934307846849,29.7134395523871,0.0446141660611468
ETV1,-2.34205984333065,0.0267493858539541,27.183012191369,0.0448466792484082
OSR2,-2.33772165653724,0.0262362885744523,30.1123994499817,0.0448127179803615
ZNF554,-2.33681269664815,0.0264777050146601,29.3416259178156,0.0448127179803615
E2F7,-2.33635007189116,0.0263828763451065,29.839120070394,0.0448127179803615
RFX5,-2.33628217927337,0.0264695925669947,29.5009340363855,0.0448127179803615
TBX21,-2.33458836793526,0.0264343610297188,30.0607662353728,0.0448127179803615
PLAG1,-2.33266860430663,0.0270551536910516,28.0845230805752,0.0449954695075778
E2F6,-2.33219394112803,0.0265850368725939,30.0278689068816,0.0448127179803615
ZFX,-2.330836758099,0.0265827794408132,30.380565300489,0.0448127179803615
ZBTB6,-2.32925156426908,0.0268845708331956,29.5241340429441,0.0449521587587302
SMAD2,-2.32681574934305,0.0272338077426956,28.7356917216194,0.0450784188959619
NR2F2,-2.32428360348598,0.0269608488214921,30.4529331062911,0.0449588417344989
NFIA,-2.32165784132277,0.0272499766959513,29.9120340086814,0.0450784188959619
SP8,-2.318059863762,0.0274761218563268,29.8898191470771,0.0453319570149477
ZNF449,-2.3095455882198,0.0280509630119879,29.7044326966844,0.0461579338451229
EGR4,-2.30297886259127,0.0286607867566343,28.9477317048588,0.0469131825332277
TFAP4,-2.29981626655206,0.0289582221609417,28.5938701097303,0.047275627779805
MESP1,-2.29818758706158,0.0300161853635898,25.4964816268039,0.0479950316096475
