"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Platelets",0.634042553191489,0.88517745302714,0.070113215764256,-0.330826569683438,-0.884875369879685,18,"LTBR;ALDH2;LGALS8;AGPAT1;OST4"
"Pluripotent Stem Cells",0.7280163599182,0.88517745302714,0.0614364107201271,0.381716105789254,0.775332569386347,7,"FUBP1;SET;HNRNPU"
"Podocytes",0.649090909090909,0.88517745302714,0.0613026075396207,0.2975523061458,0.885751961758671,30,"DOCK5;VEGFA;DST;LUC7L2;DAB2IP;WSB2;LGR4;CD2AP;PTPRF;NCKAP1"
"Principal Cells",0.708407871198569,0.88517745302714,0.0564118388217596,0.265904650863023,0.858030491696234,44,"TSPAN8;PLEKHA7;KRT19;NR3C2;TFF3;ITGB4;CGN;SLCO2A1;SLC13A2;CLDN4;CDH1"
"Pyramidal Cells",0.76530612244898,0.88517745302714,0.0589694466690997,0.613248578119773,0.823391889148451,1,"YWHAZ"
"Red Pulp Macrophages",0.484375,0.88517745302714,0.0795564677235957,-0.707259358818156,-1.03358435054905,2,"SLC7A7"
"Satellite Cells",0.742857142857143,0.88517745302714,0.0603786357920401,-0.319701316889691,-0.78883551971652,13,"SNX7;SRXN1;GNA11;IRF2"
"Schwann Cells",0.774530271398747,0.88517745302714,0.059476028695732,0.386485759497266,0.745687150213769,6,"BAG3;DAB2IP;ITGB4;NDRG1"
"Smooth Muscle Cells",0.577319587628866,0.88517745302714,0.0732558655828455,0.447781583989656,0.938581381265083,8,"PDE4DIP;KIF1C"
"Spermatocytes",0.761224489795918,0.88517745302714,0.059221919380382,0.617263298762128,0.828782343414561,1,"CAPN1"
"Trophoblast Cells",0.569060773480663,0.88517745302714,0.0683110858318647,0.311874449643554,0.930193351447137,31,"S100A11;NIPAL1;NFKBIZ;KLF4;AREG;IER3;PKP3;CLDN4"
"Trophoblast Progenitor Cells",0.520795660036166,0.88517745302714,0.0718276293603809,0.309231366234969,0.94495227418798,35,"R3HDM4;TMC6;DEDD2;ARRDC1;PTPN6;IRF7;VASP;OSTF1;ST14"
"Tuft Cells",0.715447154471545,0.88517745302714,0.0619762736001998,0.368722340385312,0.800250652714792,9,"IRF7;RIPK3;MXD1;IL13RA1"
"Undefined Placental Cells",0.493670886075949,0.88517745302714,0.0745500777420554,0.313578963552459,0.958237705166203,35,"KRT18;KRT19;FAM83H;EPHA2;CCT3;PKP3;KRT8;RPL8;SCT;EIF5A;PHB;SLC39A1;PSMD3;SLC25A1"
"Urothelial Cells",0.616788321167883,0.88517745302714,0.0639271933359996,0.299406860628003,0.903447492030003,33,"TRIM25;RPS6KB2;ARRDC1;ST14;SYNGR2;STXBP2;ABHD11;ARHGAP27;TMC4;PRKCD;ELMO3;SIRT7;LRP10"
"Ependymal Cells",0.7890625,0.889681208053691,0.0554793308704233,-0.545958823912281,-0.797860769750498,2,"CALML4"
"Neuroendocrine Cells",0.78515625,0.889681208053691,0.0557104226766671,-0.551639789096937,-0.806162896315053,2,"PPP1R1B"
"Transient Cells",0.814220183486238,0.911926605504587,0.0615706755421678,-0.238330475506543,-0.805493507048569,50,"MAOA;MYH14;SLC43A2;GPR107;SDC4;COBL;MAL2;MYO5B;GNA11;ATP1A1"
