"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"Endothelial Cells (Blood Brain Barrier)",0.575452716297787,0.840661359461115,0.0721797965581253,0.414361614027345,0.926265376971227,10,"CEP170B;FOXQ1;DAB2IP;PTPRF"
"Peri-islet Schwann Cells",0.582822085889571,0.84408715887455,0.0723570851036907,0.507590158267545,0.918449802337967,4,"DAB2IP;NCKAP1"
"Choroid Plexus Cells",0.610486891385768,0.847618163246355,0.0656813601934011,0.320425766218099,0.870363411125086,20,"CEP170B;DAB2IP;LGR4;CHMP1A;NCKAP1;SHROOM3;PTPRF;CTNND1;ATP9A;RNF128"
"Müller Cells",0.599206349206349,0.847618163246355,0.0694481442003175,-0.392320772054045,-0.909762573531383,9,"CROT;PRDX6"
"NK Cells",0.608187134502924,0.847618163246355,0.0678338263479455,-0.505295637335818,-0.904133271686286,4,"DPP4"
"Parathyroid Chief Cells",0.606299212598425,0.847618163246355,0.0684714904492087,-0.419133252428685,-0.88858602010072,7,"VDR;SCAMP5;APP"
"Pericytes",0.595092024539877,0.847618163246355,0.0713052987340038,0.49775845073499,0.900659997526265,4,"VEGFA;PDE5A"
"Chondrocytes",0.625506072874494,0.850405583852103,0.0683110858318647,0.419640711726761,0.86735761921226,7,"ATRX;VEGFA;GADD45B"
"Osteoblasts",0.627680311890838,0.850405583852103,0.0662842187012672,-0.498026028376597,-0.891125648333678,4,"VDR"
"Oxyphil Cells",0.62109375,0.850405583852103,0.0668966276500666,-0.692873870859819,-0.919224408395554,1,"LDB3"
"Osteoclast Precursor Cells",0.650627615062761,0.862498306258563,0.0679922591544058,0.460110894366461,0.862257937357893,5,"SAMD9L;NFKB1"
"Osteocytes",0.652007648183556,0.862498306258563,0.0635007968065945,-0.422368800834128,-0.859223262569559,6,"SNX7"
"Pluripotent Stem Cells",0.645748987854251,0.862498306258563,0.0667426134241917,0.409965885974065,0.84736067040188,7,"FUBP1;HNRNPU;SET"
"Glutaminergic Neurons",0.669921875,0.867509520182788,0.0632191170859458,-0.669120107059217,-0.887710679281076,1,"GLS"
"Oligodendrocytes",0.671287128712871,0.867509520182788,0.0637845390312975,-0.355648527298616,-0.849471979605256,10,"PPP1R1B"
"Red Pulp Macrophages",0.663405088062622,0.867509520182788,0.0637845390312975,-0.608084798775024,-0.892035822821545,2,"SLC7A7"
"Tuft Cells",0.690763052208835,0.885864066954842,0.0630790410571939,0.374015316179638,0.826668816647461,9,"RIPK3;IRF7;MXD1;IL13RA1"
"Airway Smooth Muscle Cells",0.825831702544031,0.887902910087433,0.053457214108991,-0.531459170013387,-0.779629122408542,2,"TPM1;GATA6"
"Basophils",0.81419624217119,0.887902910087433,0.0571258510018113,0.36227637529965,0.707197369246471,6,"FBXO9;CDH1;ID1"
"Beta Cells",0.793877551020408,0.887902910087433,0.0572461135202884,0.596855135496822,0.801380867561831,1,"SLC2A2"
"Crypt Cells",0.772916666666667,0.887902910087433,0.059476028695732,-0.302129454636088,-0.779499598896455,14,"PPP1R1B;MYH14;SLC5A1;COBL"
"Dopaminergic Neurons",0.71875,0.887902910087433,0.0598603117764473,-0.633656741385079,-0.840662013279179,1,"DDC"
"Ductal Cells",0.731707317073171,0.887902910087433,0.0536769600638126,0.254707416259401,0.852659309874645,47,"TSPAN8;KRT18;KRT19;TFF3;FOXQ1;PKP3;GJB1;CDH1;KRT8;MUC13;RNF128;EPCAM;SERINC2;DSP;EPS8L2;RHOD;CLDN4;SLC44A4"
"Eosinophils",0.785276073619632,0.887902910087433,0.0578529757032509,0.398476283764455,0.721015681842529,4,"PGLYRP1;CCL5;NR2F6"
"Ependymal Cells",0.819960861056751,0.887902910087433,0.05378728077603,-0.535700910671461,-0.785851584515378,2,"CALML4"
"Gastric Chief Cells",0.780600461893764,0.887902910087433,0.0639271933359996,-0.241178523427745,-0.814342539709238,44,"PPP1R1B;SELENBP1;ACE2;ALDH2;MYH14;MAL2"
"Hematopoietic Stem Cells",0.835051546391753,0.887902910087433,0.0553642837725362,-0.285091230055578,-0.713196876945048,12,"EGR1;ABCG2"
